video_id,in_phase2,in_v1,has_transcript,status
QvurnViQcrs,False,True,False,legacy_only
Qy14dSLN-mA,True,False,False,phase2_missing_transcript
R-rwd5yGBr0,False,True,True,legacy_only_with_transcript
R1Tv4clN98s,True,False,False,phase2_missing_transcript
R3BwAGO5gM4,True,False,False,phase2_missing_transcript
RBwItubQCoQ,False,True,True,legacy_only_with_transcript
RDl3nu27q9w,False,True,False,legacy_only
REcI14WYLfg,True,False,False,phase2_missing_transcript
RGsBun5NKJw,False,True,True,legacy_only_with_transcript
RHOITKS5_jQ,False,True,False,legacy_only
RNCyEuseurI,True,False,False,phase2_missing_transcript
RU5dR1NyP8s,True,False,False,phase2_missing_transcript
RXRgRsoNRmk,True,False,False,phase2_missing_transcript
RXs8cHWBRq0,True,False,False,phase2_missing_transcript
RYiHO9QMywk,False,True,False,legacy_only
RZwNsXv-tWc,True,False,False,phase2_missing_transcript
R_FsSuJXlk0,False,True,True,legacy_only_with_transcript
R_PIwm_WHeQ,False,True,True,legacy_only_with_transcript
R_wthRixiIo,False,True,False,legacy_only
Raa-U-y4920,False,True,True,legacy_only_with_transcript
RbhNAq8XeP0,False,True,True,legacy_only_with_transcript
RehqLdUGJlg,True,False,False,phase2_missing_transcript
Rf2sERzU0Lo,False,True,True,legacy_only_with_transcript
RjDLpbR-mWM,False,True,True,legacy_only_with_transcript
RksEiQ09rGM,True,False,False,phase2_missing_transcript
RoH7XBJqEdI,False,True,True,legacy_only_with_transcript
RpYBuceqY3Q,False,True,False,legacy_only
RzYiFBi82dI,False,True,True,legacy_only_with_transcript
S0bIJVsW6kg,True,False,False,phase2_missing_transcript
S0b_R9YBaEE,False,True,True,legacy_only_with_transcript
S37f0y5QLHg,False,True,True,legacy_only_with_transcript
S3fg437BWLA,False,True,False,legacy_only
S4TKAt1jDvk,False,True,False,legacy_only
S7Xj2DjSAOo,False,True,True,legacy_only_with_transcript
S9pdVzfmNvI,False,True,True,legacy_only_with_transcript
SCYYMEUJ7-4,True,False,False,phase2_missing_transcript
SDVPhmheabc,False,True,False,legacy_only
SEaTLiIB3sc,False,True,False,legacy_only
SFMN1XdD8_E,True,False,False,phase2_missing_transcript
SHyvmu2yHRc,False,True,True,legacy_only_with_transcript
SPWeCdEFZDY,True,False,False,phase2_missing_transcript
SWPzvxcJePk,False,True,False,legacy_only
Sa5HBmLwH00,False,True,True,legacy_only_with_transcript
SbIc8gISJCQ,True,False,False,phase2_missing_transcript
Sc08I9A0oLU,True,False,False,phase2_missing_transcript
Sehy0gAyv2k,True,False,False,phase2_missing_transcript
Sh4ElhPZvNo,True,False,False,phase2_missing_transcript
ShS9Lelo9V8,True,False,False,phase2_missing_transcript
Sj7LTaMF9yQ,False,True,False,legacy_only
Sjcx36ylebg,True,False,False,phase2_missing_transcript
SkT4ll953as,True,False,False,phase2_missing_transcript
SqdhcZy5mPo,False,True,False,legacy_only
SuZSLw-Pcw0,True,False,False,phase2_missing_transcript
SwufoZmheHw,False,True,True,legacy_only_with_transcript
SyqVpu2B8Tw,False,True,False,legacy_only
SyserxPSx1U,True,False,False,phase2_missing_transcript
T-y9F_n1rZM,False,True,True,legacy_only_with_transcript
T1HxN8rHbS8,False,True,False,legacy_only
T1SghqwJDsI,False,True,True,legacy_only_with_transcript
T3LV5yAJpqY,True,False,False,phase2_missing_transcript
T4q-n5Sxt2Y,False,True,True,legacy_only_with_transcript
T6C-VjtjiEk,False,True,False,legacy_only
T8HPu3QiNr0,True,False,False,phase2_missing_transcript
T9W6XoM-x4A,True,False,False,phase2_missing_transcript
TBxnBuUNiBE,True,False,False,phase2_missing_transcript
TFhoDtY-pUM,True,False,False,phase2_missing_transcript
THvRM-RU764,False,True,True,legacy_only_with_transcript
TIYky_bDxNM,False,True,False,legacy_only
TJ05yEnMLq8,False,True,False,legacy_only
TLNnshDVRao,False,True,True,legacy_only_with_transcript
TMmlL9bXdg0,False,True,True,legacy_only_with_transcript
TVlLod9gHW8,False,True,True,legacy_only_with_transcript
TW1jRrO1ob0,False,True,True,legacy_only_with_transcript
TaMHJzT5GD8,True,False,False,phase2_missing_transcript
Tc2elWuujqw,False,True,True,legacy_only_with_transcript
TcUzZ4fVtG4,False,True,True,legacy_only_with_transcript
TgeKz4aMaZw,False,True,False,legacy_only
TkEYoutPz7g,False,True,False,legacy_only
TkHu7xkWfbU,False,True,False,legacy_only
TmFeVZrZDbg,True,False,False,phase2_missing_transcript
TpTRtaSEGrE,True,False,False,phase2_missing_transcript
TqIilxEuvFI,False,True,False,legacy_only
Tqk_H51lqr0,False,True,True,legacy_only_with_transcript
Tx1dODB8ox0,False,True,True,legacy_only_with_transcript
U-BzvigYCK8,False,True,False,legacy_only
U0n5zsW2iT8,False,True,False,legacy_only
U7uJI2m-W1Q,True,False,False,phase2_missing_transcript
U8Xap8TH2kM,True,False,False,phase2_missing_transcript
U8tPNIJgIdk,True,False,False,phase2_missing_transcript
