video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count,status,cluster
zSLdcsEe94g,Yoga for self and society#internationalyogaday#21st June#longestdayoftheyear,"YOGA,DANCE AND TRAVEL FREAK GIRLS(GhummakadLadies)",20240622,64.0,8,phase2,,,,,True,,transcript_available,7
sm6QLZDPFyk,2024 theme- Yoga for Self and Society.,DAVians Unite,20240621,45.0,25,phase2,,,,,True,,transcript_available,2
i0SD-sKy5VM,"Happy international yoga day 2024 theme// ""Yoga for Self and Society.#yoga #weightloss",Dipsikha Vlogs(Moon) ,20240621,231.0,11,phase2,,,,,True,,transcript_available,7
x_xKEKJrVXo,"Yoga for Self and Society Essay, International Yoga Day Theme 2024",Studiously Yours,20240619,157.0,443,phase2,,,,,True,,transcript_available,7
FKM4aOluMsI,International Day of Yoga 2025: How India Is Connecting The World Through Yoga | World News | WION,WION,20250621,239.0,1541,phase2,,,,,True,,transcript_available,4
6Q2VsWvIFrg,Sivananda Yoga Class - International Day of Yoga | 21 June 2025,"Sivananda Yoga Centre, Gurgaon",20250621,5426.0,6465,phase2,,,,,True,,transcript_available,6
BdD0OyQyzEo,PM Modi Performs Yoga on International Yoga Day 2025 in Visakhapatnam | Full Event | 21 June 2025,Sansad TV,20250621,2806.0,4712,phase2,,,,,True,,transcript_available,2
O8cNxp5PqKs,"International Day of Yoga 2025, Yoga for One Earth, One Health, History, Theme & Global Significance",Arihant Online Academy,20250612,264.0,5582,phase2,,,,,True,,transcript_available,4
l9DWNZ0T4Dg,International Yoga 2025: India Leads Global Celebration Of Unity and Wellness | WION,WION,20250621,283.0,525,phase2,,,,,True,,transcript_available,4
6Ab0gUuhs4w,Watch LIVE: International Day of Yoga 2025 at The Art of Living International Center,Art of Living International Center,20250621,3430.0,3130,phase2,,,,,True,,transcript_available,9
LG4WlJNuAb0,IDY Reflections | Episode 1 | International Day of Yoga 2025,Ministry of Ayush,20250723,1494.0,978,phase2,,,,,True,,transcript_available,2
20Fn-9Yrf6Y,International Yoga Day 2025 | Significance & Theme | UPSC Current Affairs | Drishti IAS,Drishti IAS,20250621,344.0,72330,phase2,,,,,True,,transcript_available,2
CusuNrovDJc,One Earth One Health | International Day of #yoga 2025 Theme Explained by Ma. Hanumantharao Ji,Vivekananda Kendra,20250615,1263.0,2262,phase2,,,,,True,,transcript_available,4
GYBNtNIqEvM,"Promo | International Day of Yoga 2025 | Yoga for One Earth, One Health | LIVE from Visakhapatnam",Doordarshan National,20250620,21.0,3178,phase2,,,,,True,,transcript_available,1
laKrFedAIYs,"21 Jun 25: International Day of Yoga Celebration 2025 | 7 - 9 AM | Yoga Wellness Center, BANGALORE",Yoga Wellness Center,20250621,8536.0,1368,phase2,,,,,True,,transcript_available,6
C_zFb_au-B8,"International Yoga Day 2025 | From India to the World, How Yoga Changed The Way We Live",Oneindia News,20250620,125.0,9437,phase2,,,,,True,,transcript_available,1
bj1jqaSsXvM,International Yoga Day 2025: The Rise of the Yoga Economy,moneycontrol,20250621,303.0,8106,phase2,,,,,True,,transcript_available,4
CJ35YXZ2z78,Yoga Day M G SANVI | international yoga day 2025 celebration | iDream News,iDream News,20250621,161.0,7110,phase2,,,,,True,,transcript_available,1
X0f2R6H98BQ,INTERNATIONAL DAY OF YOGA & WORLD MUSIC DAY 2025,DPS MIYAPUR OFFICIAL,20250714,3677.0,2200,phase2,,,,,True,,transcript_available,8
pgfmCg6-Poc,"International Day of Yoga - 📍Capital City of Yoga, Rishikesh, 🚩Parmarth Niketan || 21 June 2025 ||",Parmarth Niketan,20250621,5750.0,3777,phase2,,,,,True,,transcript_available,9
uTg5Hj67MsI,"International Yoga Day 2025 | Theme : Yoga for One Earth, One Health",Fact Navigate,20250609,447.0,3090,phase2,,,,,True,,transcript_available,4
FKOpBDx-IMk,International Day Of Yoga 2025,BSF_India,20250621,5445.0,1705,phase2,,,,,True,,transcript_available,2
Q1E2AbocGHs,"INTERNATIONAL DAY OF YOGA 2025 | 30 min, feel good, gentle vinyasa flow ✨",Arianna Elizabeth,20250621,1594.0,5836,phase2,,,,,True,,transcript_available,6
mFKrbvCrs5s,"International Yoga Day 2025 celebrations with the Diplomatic Corps (June 21, 2025)","Ministry of External Affairs, India",20250621,5052.0,2710,phase2,,,,,True,,transcript_available,6
